2418,16921
30697,16921
4397,191
10393,191
610,204
1541,204
803,23
2211,23
2074,43
4231,43
551,17
2077,17
654,21
1706,21
943,19
2553,19
986,16
2212,16
663,32
4180,32
3154,57
6696,57
1336,22
3345,22
898,25
3208,25
1338,18
3064,18
960,13
3598,13
1356,42
2952,42
1015,36
4355,36
1823,71
3832,71
1397,26
3547,26
1749,66
4430,66
1319,20
4062,20
2901,57
9859,57
2442,26
5269,26
2529,32
4664,32
2727,28
4965,28
1857,19
4658,19
3768,63
7950,63
5363,78
6873,78
3402,24
6243,24
4025,29
6769,29
4672,31
7583,31
5097,32
7863,32
6070,13025
8246,13025
3778,77688
8983,77688
6583,12304
8361,12304
6203,11461
8231,11461
5116,11651
9908,11651
7536,11269
11495,11269
7706,13467
16508,13467
5207,7308
10906,7308
6363,9469
14631,9469
8480,11331
10940,11331
6553,8504
11440,8504
6252,8920
11794,8920
10259,13321
12017,13321
6758,69
46747,69
7070,79
13407,79
12261,162
12746,162
10321,99
14337,99
7890,70
11177,70
11595,123
16701,123
6331,74
19257,74
9868,178
10628,178
6380,79
12890,79
6344,2432
11377,2432
6989,1335
17928,1335
6346,1462
10963,1462
7793,65520
12027,65520
11124,14579
17275,14579
8125,9881
11044,9881
8586,10138
12645,10138
11391,13248
15309,13248
13311,12751
16849,12751
13279,16040
30474,16040
8821,10338
13313,10338
9354,10926
15819,10926
9952,12126
16098,12126
9799,24517
17543,24517
10718,22032
15246,22032
116366,23371
24625,23371
11693,23724
15387,23724
21518,43589
19922,43589
19672,32980
26057,32980
24053,63831
20494,63831
15404,29705
53999,29705
23841,42730
34436,42730
17955,61308
25886,61308
23973,36894
33443,36894
14911,41431
23149,41431
26217,58979
31656,58979
16909,31593
22224,31593
17226,35226
23256,35226
18494,30753
39075,30753
16425,34519
22242,34519
16573,29832
23278,29832
16819,34702
31578,34702
16382,30304
111130,30304
17993,36476
33802,36476
15276,34163
22493,34163
17409,31115
32115,31115
17930,73888
19729,73888
15348,29464
21930,29464
15361,29972
21871,29972
14724,26513
23658,26513
25667,85921
24175,85921
14661,27341
19075,27341
16601,47688
23011,47688
15216,42588
21953,42588
25707,60444
20762,60444
14712,28111
50405,28111
20895,52557
20259,52557
19324,41817
21929,41817
16178,35639
23521,35639
70584,52700
38235,52700
